Inferred Pnode,Inferred Pnode ID
02HAMILT138 KV LD1,98370003
ATLANTIC34 KV BANK5,2156113572
AUGLAIZE69 KV T1,1666104437
BALLSGAP138 KV T1,1439644392
BLUFFTON69 KV BLFTN,1356152712
CASTLEWD69 KV T1,2156109031
CLINTONC138 KV CLNTONBS,1305131573
DEPTFORD230 KV DEPTFDSP,106856905
ELKINJCT35 KV LOAD1,57967471
GAHANNA 138 KV T6,2156111802
GREENBRI138 KV T1,32411433
HAMILTN 34.5 KV TX2_LD,2156113094
HAVILAND34.5 KV GROVERWF,2156117550
KENT 13 KV DOVER1CT,1048076
LAURELDM13.8 KV LAUREL,1123180719
LEWESREA69 KV LEWES,49955
LYONSSOL69 KV LYONS_SP,2156113436
MERCER 230 KV #1 SP,48806
MILTON 69 KV LEW2LOAD,2155501828
MILTON2 138 KV T2,32411997
MINSTER 69 KV LOAD,40243615
MORGANTO13 KV CT3,50828
NCOLUMBG69 KV COLUMBUS,1666104441
NEWARK 4 KV NEWAR2SP,93353977
NEWPHILA69 KV T4,2156109026
NPHILADE13 KV BUS2,659723
NPHILADE13 KV BUS3,659724
NWILMING69 KV NEM1FEPA,2156117327
PAINESV2138 KV TR10,1356155763
PITTSBRG69 KV T1,2156113295
RANNELL 69 KV CUMBERLD,2156108964
RICHMOND69 KV T1,32412355
ROCKVILE36.5 KV TX2,2156111867
SHARON 69 KV T1 LD,1338424127
SOMERSET35 KV SOME_AP,38367929
SOMERSET35 KV SOME_DVP,38367927
SUNBURY 12 KV CT 1-2,1048048
SUNBURY435 KV TX1,34886621
WASHINGT69 KV T3,2156109888
WHITEMAR230 KV DBU4,49052
nan,nan
