pnode_id,arbitrage_profit,regulation_profit,multi_market_profit,pjm_multi_market_profit,txbx_profit,lmp_missing_5min_steps,reg_missing_5min_steps
48806,211440.80260912073,761347.2875000009,789027.1183979185,787204.1471671276,38210.51249999999,1,0
49052,212386.9626770183,761347.2875000009,790727.887909341,788796.9540751693,39268.07499999998,1,0
49955,426066.2055571782,761347.2875000009,997775.676608282,992271.8154050076,43483.479166666635,1,0
50828,331890.51579664863,761347.2875000009,814809.9508175339,808532.5055025321,38993.25833333332,1,0
659723,219418.83150019948,761347.2875000009,794927.6454309741,792663.712715499,40957.04166666664,1,0
659724,219341.40557211204,761347.2875000009,794902.5379033139,792640.0587412711,40956.191666666644,1,0
1048048,182544.70977733328,761347.2875000009,774500.3438076349,772532.3570135144,35324.54166666665,1,0
1048076,243386.9316968215,761347.2875000009,816240.6126481795,813434.9700834116,38838.05416666665,1,0
32411433,256955.90779729447,761347.2875000009,778691.3031866917,776165.4190948972,36166.27499999999,1,0
32411997,237696.16647788775,761347.2875000009,775269.5549382066,773080.1772489422,33993.733333333315,1,0
32412355,242863.76943052912,761347.2875000009,777349.1085146903,774900.1997194428,34032.04583333332,1,0
34886621,278096.2095294172,761347.2875000009,786536.649771918,782591.9922437234,36974.63749999998,1,0
38367927,286849.60679493163,761347.2875000009,790313.4412905972,785224.6771360477,36772.23333333332,1,0
38367929,286849.60679493163,761347.2875000009,790313.4412905972,785224.6771360477,36772.23333333332,1,0
40243615,259682.26577350902,761347.2875000009,781861.9371936342,778951.7309374218,36738.69583333332,1,0
57967471,213256.12224075527,761347.2875000009,790922.5737039394,789014.115053393,39107.324999999975,1,0
93353977,215708.20016200093,761347.2875000009,787455.0642445692,785502.4800969439,38261.34166666666,1,0
98370003,251008.36209184825,761347.2875000009,778741.280754023,776143.2321009109,36398.51249999998,1,0
106856905,213648.90399458696,761347.2875000009,791486.0192663893,789645.6791335144,38327.69583333332,1,0
1123180719,244412.31499936088,761347.2875000009,780221.2330540919,777290.2791615714,33172.47083333332,1,0
1305131573,244570.29119923443,761347.2875000009,778102.2721732074,775622.9535594103,34549.920833333315,1,0
1338424127,263482.88721744367,761347.2875000009,793111.0082080209,786984.2489838047,37009.39999999999,1,0
1356152712,260755.95980840537,761347.2875000009,780468.8171470953,777557.0337307621,36730.38333333332,1,0
1356155763,246449.05640913607,761347.2875000009,779096.2399518504,776461.7439813901,36723.30416666665,1,0
1439644392,235154.97960089138,761347.2875000009,774797.3095464658,772640.8863523733,33567.19999999998,1,0
1666104437,275520.1378395059,761347.2875000009,793241.3546445173,786899.49987225,36544.69999999999,1,0
1666104441,255043.06904841238,761347.2875000009,780055.1069426697,776886.2587081203,35694.295833333315,1,0
2155501828,180497.40670845305,761347.2875000009,773971.7065379504,772091.4345809548,35001.79999999998,1,0
2156108964,246481.5210468594,761347.2875000009,779736.388249851,777208.8617379747,35345.73333333332,1,0
2156109026,248807.27259808453,761347.2875000009,778930.6482932692,776213.5997177085,36226.75833333332,1,0
2156109031,235087.5846484036,761347.2875000009,778542.5125889822,776074.9191396347,34987.37916666665,1,0
2156109888,218651.5621935477,761347.2875000009,794993.393914859,793026.2312828943,39579.41249999998,1,0
2156111802,250011.58208572742,761347.2875000009,780086.145749952,777512.318973469,37122.974999999984,1,0
2156111867,282275.33015053754,761347.2875000009,788218.5460249842,784069.3581726502,36354.52916666665,1,0
2156113094,583885.4705107036,761347.2875000009,1066038.0203482676,1053918.7712700623,53720.25833333331,1,0
2156113295,257227.75510470287,761347.2875000009,781998.7355000315,778918.5934076144,36482.11666666665,1,0
2156113436,221697.9747022156,761347.2875000009,789675.9118961917,786851.8613101012,37047.57499999999,1,0
2156113572,213810.12624245463,761347.2875000009,789438.9177862329,787624.4706319408,38740.37916666666,1,0
2156117327,247738.59002277633,761347.2875000009,781276.7498391506,778087.8300421237,36414.608333333315,1,0
2156117550,247939.51595680483,761347.2875000009,778637.237043142,775218.0678355148,34860.30833333332,1,0
